feature_extractor,7036,0,1268
designer,10133,0,2016
coder,0,0,2758
coder,0,0,2780
coder,0,0,2780
coder,17185,0,3142
coder,0,0,2437
coder,16802,0,2433
coder,0,0,2431
coder,16826,0,2431
designer,0,0,1520
coder,0,0,2637
coder,0,0,2637
coder,0,0,2639
coder,16806,0,2663
coder,0,0,2661
coder,16876,0,2663
coder,0,0,3266
coder,0,0,2991
designer,0,0,1520
coder,0,0,2646
coder,0,0,2648
coder,0,0,2646
coder,0,0,2670
coder,0,0,2420
coder,0,0,2422
coder,0,0,2420
coder,0,0,2420
designer,0,0,1520
coder,12511,0,2715
coder,0,0,2715
coder,0,0,2715
coder,0,0,2713
coder,0,0,2710
coder,0,0,2708
coder,0,0,2708
coder,0,0,2708
designer,0,0,1520
coder,0,0,2637
coder,0,0,2657
coder,0,0,2657
coder,16940,0,3341
coder,0,0,2665
coder,0,0,2692
coder,0,0,2690
coder,16894,0,2690
designer,10133,0,2154
coder,0,0,2565
coder,0,0,2619
coder,0,0,2374
coder,0,0,2372
coder,0,0,2374
coder,0,0,2376
coder,0,0,2378
coder,0,0,2376
designer,0,0,1520
coder,0,0,2715
coder,0,0,2715
coder,0,0,2000
coder,0,0,2729
coder,0,0,2727
coder,16846,0,2729
coder,16920,0,2727
coder,0,0,2729
designer,0,0,1239
coder,12392,0,4331
coder,0,0,1841
coder,16137,0,2470
coder,0,0,1807
coder,15699,0,4138
coder,0,0,1823
coder,0,0,1894
coder,16096,0,1888
designer,0,0,1524
coder,0,0,2111
coder,0,0,2177
coder,0,0,2178
coder,0,0,2171
coder,0,0,2266
coder,16798,0,5278
coder,0,0,2263
coder,0,0,2263
designer,0,0,1399
coder,0,0,2135
coder,15164,0,2242
coder,0,0,2321
coder,0,0,2323
coder,16660,0,3026
coder,0,0,2273
coder,0,0,2280
coder,0,0,2219
designer,4719,0,1895
coder,12572,0,2798
coder,0,0,2116
coder,0,0,2116
coder,0,0,2116
coder,0,0,2116
coder,0,0,2116
coder,0,0,2121
coder,0,0,2121
designer,0,0,1399
coder,12444,0,2101
coder,16225,0,2917
coder,0,0,2298
coder,0,0,1921
coder,16082,0,1928
coder,16079,0,1981
coder,0,0,1978
coder,16316,0,5111
designer,4593,0,1399
coder,12444,0,2151
coder,0,0,2316
coder,0,0,2316
coder,0,0,2330
coder,16737,0,3048
coder,0,0,2421
coder,0,0,2425
coder,0,0,2403
designer,0,0,1399
